txt_long;txt_court;kind;abbrev;voie-lieu
ABBAYE;ABE;;;
ADJUDANT;ADJ;;t;
(ACH|ANCIEN CHEMIN|CHE|CHEM|CHEMIN) (AN|ANC|ANCIEN) (CH|CHE|CHEM|CHEMIN);ACH;way;t;voie
CHE ANC;ACH;;t;voie
(ART|ANCIENNE ROUTE|RTE|ROUTE) (AN|ANC|ANCIEN|ANCIENNE) (RTE|ROUTE);ART;way;t;voie
RTE ANC;ART;way;t;voie
ANCIEN CHEMIN;ACH;way;t;voie
ANCIENS CHEMINS;ACH;;;voie
ANCIENNE ROUTE;ART;way;t;voie
ANCIENNES ROUTES;ART;;;voie
ANCIENNESROUTES;ART;;;voie
ANC RTE;ART;way;t;voie
AERODROME;AER;area;t;
AFRIQUE (DU) NORD;AFN;;t;
A F N;AFN;;t;
AGGLOMERATION;AGL;area;t;
AIRES;AIRE;;;
ALLEE;ALL;way;t;voie
ALGERIE;ALG;;t;
ANCIEN;ANC;;t;
ANCIENNE;ANC;;t;
ANCIENS;ANC;;t;
ANCIENNES;ANC;;t;
ANGLE;ANGL;way;t;
ARCADE;ARC;way;t;voie
ARCADES;ARC;;;voie
AUTOROUTE;AUT;way;t;voie
AV AVENUE;AV;way;t;voie
AVENUE;AV;way;t;voie
VC BOUCLE;BCLE;way;t;voie
BOUCLE;BCLE;way;t;voie
BOULEVARD;BD;way;t;voie
BLVD;BD;;t;voie
BVD;BD;;;voie
BERGE;BER;way;t;
BERGES;BER;;;
BORD;BORD;way;f;
BARRIERE;BRE;way;t;
BARRIERES;BRE;;;
BAS CHEMIN;BCH;;;voie
BASTION;BAST;;;
BEGUINAGE;BEGI;;;
BEGUINAGE;BEGI;;;
BOURG;BRG;area;t;lieu
BRETELLE;BRTL;way;t;voie
BASSIN;BSN;area;t;
BASTIDE;BSTD;area;t;
BUTTE;BUT;;;
CARRER;CAE;way;t;voie
CARRIERA;CAE;way;t;voie
CALLE;CALL;way;t;voie
CAMIN;CAMI;way;t;voie
CANAL;CAN;way;t;voie
CARREFOUR;CAR;area;t;
CARRIERE;CARE;area;t;
CARRIERES;CARE;;;
CASERNE;CASR;area;t;
CASTEL;CST;;;
CAVEE;CAV;;;
CHEMIN COMMUNAL;CC;way;t;voie
CHEMIN DEPARTEMENTAL;CD;way;t;voie
CHEMIN DEPATEMENTAL;CD;way;t;voie
COMMANDANT;CDT;area;t;
CHEMIN FORESTIER;CF;way;t;voie
CR DIT CHEMIN;CH;way;t;voie
CR CR NO;CR;way;t;voie
CR CR N;CR;way;t;voie
CR CR;CR;way;t;voie
CR N;CR;way;t;voie
CHASSE;CHA;area;t;
CHEMIN RURAL DIT CHEM;CHE;way;t;voie
CHEMIN RURAL DIT CHEMIN;CHE;way;t;voie
CHEMINS VICINAUX;CV;;;voie
CHEMINS;CHE;;;voie
CHEMIN;CHE;way;t;voie
CHEM;CHE;way;t;voie
CH;CHE;way;t;voie
CHEMINEMENT;CHEM;way;t;voie
CHEMINEMENTS;CHEM;;;voie
CHALET;CHL;area;t;lieu
CHAMP;CHP;area;t;
CHAMPS;CHP;area;t;
CHPS;CHP;area;t;
CHAPELLE;CHP;;;
CHARMILLE;CHI;;;
CHAUSSEE;CHS;way;t;voie
CHAUSSEES;CHS;;;voie
CHATEAU;CHT;area;t;
CHATEAUX;CHT;area;t;
CHEMIN VICINAL;CHV;way;t;voie
CITE CITE;CITE;area;f;lieu
CITE CITES;CITE;area;f;lieu
CITES;CITE;;;lieu
CLOITRE;CLOI;;;
COLLINE;COLI;;;
COLLINES;COLI;;;
COURSIVE;CIVE;way;t;
COULOIR;CLR;way;t;
COBATTA;COMB;;t;
COMBATTANT;COMB;;t;
COMBATTANTS;COMB;;t;
CORNICHE;COR;way;t;
CORNICHES;COR;;;
CORON;CORO;area;t;
COTEAU;COTE;;;
COTEAUX;COTE;;;
COTTAGE;COTT;;;
COTTAGES;COTT;;;
CAMPAGNE;CGNE;;;
CAMPING;CPG;area;t;
CAPITAINE;CPT;;t;
CARRE;CARR;;;
CARREAU;CAU;;;
CHEMIN RURAL DIT;CR;way;t;voie
CHEMIN RURAL;CR;way;t;voie
CHEMI RURAL;CR;way;t;voie
(CHEMIN|CHE) RURAL;CR;way;t;voie
CR DIT;CR;way;t;voie
COURS;CRS;way;t;voie
CROIX;CRX;area;t;
CONTOUR;CTR;way;t;
CENTRAL;CTRE;;;
CENTRE CIAL;CCAL;;;
CENTRE COM;CCAL;;;
CENTRE COMM;CCAL;;;
CENTRE COMMERCIAL;CCAL;;;
CTRE CIAL;CCAL;;;
CTRE COM;CCAL;;;
CTRE COMM;CCAL;;;
CTRE COMMERCIAL;CCAL;;;
CENTRE;CTRE;area;t;
(C|CTRE|CENTR|CENTRE|CC CENTRE|CRE|CTR|ESP|ESPA|ESPLANADE) COMMERCIAL;CCAL;area;t;
CHEMIN VICINAL;CV;way;t;voie
DARSE;DARS;way;t;
DEGRE;DEG;;;
DEGRES;DEG;;;
DESSUS;DSU;;t;
DEVIATION;DEVI;way;t;voie
DIVISION BLINDEE;DB;;t;
DIGUE;DIG;way;t;voie
DIGUES;DIG;;;voie
DIVISION;DIV;;t;
DIV INFANTERIE;DI;;t;
DIV INFANTERIE MARINE;DIM;;t;
DIVISION FRANCAISE LIBRE;DFL;;t;
DOMAINE;DOM;area;t;lieu
DOCTEUR;DR;;t;
DRAILLE;DRA;way;t;
DESCENTE;DSC;way;t;voie
DESCENTES;DSC;;;voie
ECART;ECA;area;t;
ECLU;ECL;area;t;lieu
ECLUSE;ECL;area;t;lieu
ECLUSES;ECL;;;lieu
EMBRANCHEMENT;EMBR;area;t;
ENCLOS;ENC;area;t;
ENFANTS;ENFTS;;t;
RUE DITE ENTREE;ENTREE;;t;
EGLISE;EGL;;;
ENCEINTE;EN;;;
ENCLAVE;ENV;area;t;
ESCALIER;ESC;way;t;voie
ESCALIERS;ESC;;;voie
ESP ESPLANADE;ESP;area;t;lieu
ESPLANADE;ESP;area;t;lieu
ESPLANADES;ESP;;;lieu
ESPACE;ESPA;area;t;lieu
ETANG;ETNG;area;t;
FOND;FD;area;t;
FORESTIERE;FOREST;;t;
FORESTIERE;FOREST;;t;
FAUBOURG;FG;area;t;lieu
FBG;FG;area;t;lieu
FAUB;FG;area;t;lieu
FONTAINE;FON;area;t;
FORUM;FORM;;;lieu
FOSSE;FOS;area;t;
FOSSES;FOS;;;
FOYER;FOYR;;;
FERME;FRM;area;t;lieu
FERMES;FRM;;;lieu
FERM;FRM;area;t;lieu
FRANCAISE;FR;
GALERIE;GAL;way;t;voie
GALERIES;GAL;;;voie
GENERAL;GAL;;t;
GARENNE;GARN;;;
GARE;GARE;area;t;
GRANDRUE;GR;;;voie
GRANDES RUES;GR;;;voie
GRAND BOULEVARD;GBD;way;t;voie
GRAND ENSEMBLE;GDEN;;;
GD ENSEMBLE;GDEN;;;
GRANDS ENSEMBLES;GDEN;;;
GDS ENSEMBLES;GDEN;;;
GRAND;GD;;t;
GRANDE;GDE;;t;
GRANDES;GDES;;t;
GRANDS;GDS;;t;
GEN;GAL;;t;
SIXIEME;6E;;f;
GOUVERNEUR;GOUV;;t;
GRAND PLACE;GPL;;t;lieu
((GD|GDE|GRANDE|GRAND) RUE|GR |RUE )((GD|GDE|GRANDE|GRAND) RUE|GR);GR;way;t;voie
(GR|GRAND|GRANDE) (GR|GRANDE|RUE);GR;way;t;voie
GR GDE RUE;GR;way;t;voie
VC GD RUE;GR;way;t;voie
GRIMPETTE;GRIM;;;
GROUPEMENT;GPT;;;
GROUPE;GPE;;;
GROUPES;GPE;;;
GROU(PE| PE|P);GRP;;t;
GR(P|PE);GRP;;t;
GR SCOL;GRP SCOL;area;t;
(GPE|GROU|GROUP|GROUPE|GRP|GRPE|GR|G) SCOL(|A|AI|AIR|AIRE);GRP SCOL;area;t;
HABITATION;HAB;;t;lieu
HAMEAUX?;HAM;area;t;lieu
HALLES?;HLE;area;t;lieu
HALAGE;HLG;area;t;
HLM;HLM;area;f;lieu
HAUT CHEMIN;HCH;;;voie
HAUTS CHEMINS;HCH;;;voie
HAUT(E)?(S)?;HT\1\2;;t;
HIPPODROME;HIP;;;
IMMEUBLES;IMM;area;t;lieu
IMPASSES;IMP;way;t;voie
JARDINS;JARD;area;t;lieu
JETEE;JTE;way;t;voie
JETEES;JTE;;;voie
LA FAYETTE;LAFAYETTE;area;f;
LEVEE;LEVE;way;t;voie
(LIEUDIT|LIEU DIT|LIEU-DIT);LD;;;lieu
LICES;LICE;area;f;voie
LIGNE;LIGN;way;t;voie
LOTISSEMENT;LOT;area;t;lieu
LIEUTENANT;LT;;t;
(LIEUT|LTN);LT;;t;
MAIL;MAIL;way;f;voie
(MAI|MAISON) (FORESTIERE|FOREST);MF;;;
MAISON;MAI;area;t;lieu
MANOIR;MAN;;;
MARECHAL;MAL;;t;
MARCHE;MAR;area;t;
MARCHES;MAR;;;
MAS;MAS;area;t;lieu
MONSEIGNEUR;MGR;;t;
(MOUL|MOULINS?);MLN;area;t;lieu
LE MOULIN;MLN;area;t;lieu
MARINA;MRN;area;t;
METRO;MET;;;
MONTEE;MTE;way;t;voie
MONT;MT;area;t;lieu
MONTS;MT;area;t;lieu
MUSEE;MUS;;;
NOUVELLE ROUTE;NTE;way;t;
NOTRE DAME;ND;area;t;
N D;ND;area;t;
N NO;N;area;t;
N NATIONALE N;N;way;t;
NEUVE;NVE;;t;
PALAIS;PAL;;;
PETITE AVENUE PET AVE;PAE;way;t;voie
PETITE AVENUE PTE AVE;PAE;way;t;voie
PAE PET AVE;PAE;way;t;voie
PAE PTE AVE;PAE;way;t;voie
PETITE AVENUE;PAE;way;t;voie
PARC;PARC;area;f;lieu
PARCS;PARC;;;lieu
PASSAGE A NIVEAU;PN;;;lieu
PASSAGE NIVEAU;PN;;;lieu
VOIE COMMUNALE PGE;PAS;way;t;voie
PAS PGE;PAS;way;t;voie
PASSAGE PGE;PAS;way;t;voie
VC PGE;PAS;way;t;voie
PASSAGE;PAS;way;t;voie
PGE;PAS;way;t;voie
PASSE;PASS;way;t;voie
PASSES;PASS;;;voie
PATIO;PAT;;;lieu
PAVILLON;PAV;;;lieu
PAVILLONS;PAV;;;lieu
PERIPHERIQUE;PERI;;;voie
PERISTYLE;PSTY;;;
PETIT DEGRE;PDEG;;;
PETITS DEGRES;PDEG;;;
PETITE IMPASSE;PIM;;;voie
PETIT CHEMIN PT CHEM;PCH;way;t;voie
PETIT CHEMIN PT CHEMIN;PCH;way;t;voie
PETIT CHEMIN PETIT CHEM;PCH;way;t;voie
PCH PET CHE;PCH;way;t;voie
PCH PETIT CHEMIN;PCH;way;t;voie
PETIT CHEMIN;PCH;way;t;voie
PRESIDENT;PDT;;t;
PASSAGE;PGE;way;t;voie
PHARE;PHAR;area;t;
PISTE;PIST;way;t;voie
PARKING;PKG;area;t;
PLACA;PL;area;t;lieu
(PL) PLA;PL;area;t;lieu
PLACE;PL;area;t;lieu
PLAGE;PLAG;area;t;
PLAGES;PLAG;;;
PLACIS;PLCI;area;t;
PASSERELLE;PLE;way;t;voie
PASSERELLES;PLE;;;voie
PLAINE;PLN;area;t;
PLATEAU;PLT;area;t;
PLATEAUX;PLT;;;
POINTE;PNT;area;t;
PONT;PONT;way;f;voie
PONTS;PONT;;;voie
PORCHE;PCH;;;
PORTIQUE;PORQ;area;t;
PORTIQUES;PORQ;;;
POSTE;POST;area;t;
POTERNE;POT;area;t;
POURTOUR;POUR;;;
PRESQU ILE;PRQ;;;
PROFESSEUR;PROF;;t;
PROMENADE;PROM;way;t;voie
PETITE ROUTE;PRT;way;t;voie
PARVIS;PRV;area;t;
PASTEUR;PAST;;t;
POINT;PT;area;t;
PETITE ALLEE PTE ALL;PTA;way;t;voie
PETITE ALLEE PTE ALLEE;PTA;way;t;voie
PETITE ALLEE;PTA;way;t;voie
PETITES ALLEES;PTA;;;voie
PORTE;PTE;;t;
PETITE RUE PETITE RUE;PTR;way;t;voie
PETITE RUE PTE RUE;PTR;way;t;voie
PTR PETITE RUE;PTR;way;t;voie
PTR PTE RUE;PTR;way;t;voie
RUE (PETITE|PTE) RUE;PTR;way;t;voie
PETITE RUE;PTR;way;t;voie
PLACETTE;PTTE;area;t;lieu
QRT;QUA;area;t;lieu
QUARTIER;QUA;area;t;lieu
QUAI;QU;way;t;voie
RACCOURCI;RAC;way;t;voie
RAVIN;RAV;way;t;
ROQUET;ROQT;;;
ROUTE DEPARTEMENTALE;RD;way;t;voie
RAIDILLON;RDL;way;t;
REGIMENT;RGT;;t;
REGT;RGT;;t;
REMPART;REM;area;t;voie
RESIDENCE;RES;area;t;lieu
RESIDENCES;RES;area;t;lieu
RGT INFANTERIE;RI;;t;
RGT ARTILLERIE;RA;;t;
REGIM;RGT;;t;
REGIMENT;RGT;;t;
R I A;RIA;;t;
RIVE;RIVE;way;f;voie
CHEMIN RURAL DIT RUELLE;RLE;way;t;voie
RUELLE;RLE;way;t;voie
RUELLES;RLE;;;voie
ROCADE;ROC;way;t;voie
RAMPE;RPE;way;t;voie
ROND POINT ROND POINT;RPT;area;t;voie
RPT ROND POINT;RPT;area;t;voie
ROND POINT;RPT;area;t;voie
ROND-POINT;RPT;area;t;voie
RD PT;RPT;area;t;voie
ROTONDE;RTD;area;t;
ROUTE;RTE;way;t;voie
ROUTES;RTE;;;voie
RUE RUE;R;way;f;voie
RUE;R;way;t;voie
RUES;R;;;voie
RUET;RTTE;way;t;voie
RUETTE;RTTE;;;voie
RUETTES;RTTE;;;voie
RUISSEAU;RUIS;way;t;
RUELLETTE;RULT;way;t;voie
RAVINE;RVE;way;t;
SAS;SAS;area;f;
SCOLA(|I|IR|IRE);SCOL;;t;
VOIE COMMUNALE STR;SEN;way;t;voie
VC STE;SEN;way;t;voie
VC STR;SEN;way;t;voie
SENTE;SEN;way;t;voie
SENTIER;SEN;way;t;voie
SENTES;SEN;;;voie
SENTIERS;SEN;;;voie
SQUARE;SQ;area;t;lieu
SAINT;ST;;t;
STADE;STDE;area;t;
STATION;STA;;;
SAINTE;STE;;t;
TOUR;TOUR;area;f;
TERRE PLEIN;TPL;area;t;
TRAVERSE;TRA;way;t;voie
(TRA) TRAVERSE;TRA;;;voie
TRABOULE;TRAB;way;t;
TERRAIN;TRN;area;t;
TERTRE;TRT;area;t;
TERTRES;TRT;;;
TERRASSE;TSSE;area;t;
TERRASSES;TSSE;;;
TUNNEL;TUN;way;t;voie
VAL;VAL;;t;
VALLON;VAL;;t;
VALLEE;VAL;;;
VOIE COMMUNALE;VC;way;t;voie
VIEUX CHEMIN VIEUX CHEMIN;VCHE;way;t;voie
VCHE VIEUX CHEMIN;VCHE;way;t;voie
VIEUX CHEMIN;VCHE;way;t;voie
VENELLE;VEN;way;t;voie
VENELLES;VEN;;;voie
VILLAGE;VGE;area;t;lieu
VILLAGES;VGE;;;lieu
VIA;VIA;way;f;voie
VC VIADUC;VIAD;way;t;voie
VIADUC;VIAD;way;t;voie
VILLE;VIL;area;t;lieu
VILLA;VLA;area;t;lieu
CHEMIN RURAL DIT VOIE;VOIE;way;f;voie
VOIE COMMUNALE DITE VOIE;VOIE;way;f;voie
VOIE COMMUNALE DITE;VOIE;way;f;voie
VOIE COMMUNALE VOIE;VOIE;way;f;voie
VC VOIE;VOIE;way;f;voie
VOIE;VOI;way;f;voie
VOIRIE;VOIR;way;f;
VOUTE;VOUT;way;t;
VOYEUL;VOY;;t;
VIEILLE ROUTE;VTE;way;t;voie
VIEUX;VX;;t;
ZONE A URBANISER EN PRIORITE;ZUP;;;
ZONE URBANISER EN PRIORITE;ZUP;;;
ZONE D AMENAGEMENT DIFFERE;ZAD;;;
ZONE AMENAGEMENT DIFFERE;ZAD;;;
ZONE ACTIVITE;ZA;area;t;
ZONE ACTIVITES;ZA;area;t;
ZONE ARTISANALE;ZA;area;t;
ZA;ZA;area;t;
ZONE AMENAGEMENT CONCERTE;ZAC;area;t;
ZAC;ZAC;area;t;
ZAD;ZAD;area;t;
ZONE INDUSTRIELLE;ZI;area;t;
ZONE INDUST;ZI;area;t;
ZONE INDUS;ZI;;;
ZI;ZI;area;t;
ZONE;ZONE;area;f;
ZUP;ZUP;area;t;
UN;1;;f;
DEUX;2;;f;
TROIS;3;;f;
QUATRE;4;;f;
CINQ;5;;f;
SIX;6;;f;
SEPT;7;;f;
HUIT;8;;f;
NEUF;9;;f;
DIX;10;;f;
ONZE;11;;f;
